state;county;lynchings
Alabama;Baldwin;1
Alabama;Autauga;4
Alabama;Baldwin;1
Alabama;Barbour;6
Alabama;Bibb;11
Alabama;Blount;3
Alabama;Bullock;3
Alabama;Butler;13
Alabama;Calhoun;3
Alabama;Chambers;2
Alabama;Cherokee;2
Alabama;Chilton;12
Alabama;Choctaw;7
Alabama;Clarke;6
Alabama;Clay;1
Alabama;Cleburne;2
Alabama;Coffee;3
Alabama;Colbert;11
Alabama;Coosa;2
Alabama;Covington;6
Alabama;Crenshaw;4
Alabama;Dale;2
Alabama;Dallas;19
Alabama;Elmore;14
Alabama;Etowah;1
Alabama;Franklin;2
Alabama;Geneva;2
Alabama;Hale;1
Alabama;Henry;13
Alabama;Houston;8
Alabama;Jackson;3
Alabama;Jefferson;30
Alabama;Lamar;5
Alabama;Lauderdale;3
Alabama;Lawrence;1
Alabama;Lee;4
Alabama;Limestone;3
Alabama;Lowndes;16
Alabama;Macon;1
Alabama;Madison;10
Alabama;Marengo;4
Alabama;Marion;1
Alabama;Mobile;7
Alabama;Monroe;17
Alabama;Montgomery;12
Alabama;Morgan;3
Alabama;Perry;1
Alabama;Pickens;14
Alabama;Pike;4
Alabama;Russell;5
Alabama;Shelby;9
Alabama;St. Clair;7
Alabama;Sumter;8
Alabama;Talladega;4
Alabama;Tallapoosa;4
Alabama;Tuscaloosa;10
Alabama;Walker;4
Alabama;Washington;3
Alabama;Wilcox;4
Arkansas;Arkansas;18
Arkansas;Ashley;10
Arkansas;Boone;2
Arkansas;Bradley;4
Arkansas;Calhoun;10
Arkansas;Chicot;3
Arkansas;Clark;6
Arkansas;Cleveland;3
Arkansas;Columbia;3
Arkansas;Conway;4
Arkansas;Craighead;5
Arkansas;Crittenden;8
Arkansas;Cross;2
Arkansas;Desha;9
Arkansas;Drew;8
Arkansas;Faulkner;2
Arkansas;Garland;3
Arkansas;Grant;2
Arkansas;Hempstead;6
Arkansas;Hot Spring;1
Arkansas;Howard;4
Arkansas;Jackson;3
Arkansas;Jefferson;7
Arkansas;Johnson;2
Arkansas;Lafayette;6
Arkansas;Lee;15
Arkansas;Lincoln;6
Arkansas;Little River;11
Arkansas;Logan;1
Arkansas;Lonoke;11
Arkansas;Miller;6
Arkansas;Mississippi;7
Arkansas;Monroe;12
Arkansas;Nevada;2
Arkansas;Ouachita;11
Arkansas;Phillips;245
Arkansas;Poinsett;2
Arkansas;Polk;1
Arkansas;Pope;2
Arkansas;Prairie;2
Arkansas;Pulaski;5
Arkansas;Sebastian;1
Arkansas;Sevier;5
Arkansas;St. Francis;6
Arkansas;Stone;1
Arkansas;Union;4
Arkansas;White;3
Arkansas;Woodruff;2
California;Kern;2
Colorado;Lincoln;1
Colorado;Otero;1
Colorado;Pueblo;1
Colorado;San Juan;1
Colorado;Ouray;1
Delaware;New Castle;1
Michigan;St. Claire;1
Minnesota;St. Louis;3
Montana;Cascade;1
Nebraska;Cherry;1
Nebraska;Douglas;2
Nebraska;Otoe;2
New Jersey;Monmouth;1
New York;Orange;1
North Dakota;Grand Forks;1
Oregon;Coos;1
Pennsylvania;Chester;1
Pennsylvania;Monroe;1
South Dakota;Meade;1
Utah;Carbon;1
WashingtonDC;WashingtonDC;3
Wyoming;Albany;1
Wyoming;Goshen;1
Wyoming;Sweetwater;2
Florida;Alachua;18
Florida;Bradford;5
Florida;Calhoun;4
Florida;Clay;1
Florida;DeSoto;3
Florida;Franklin;2
Florida;Hardee;1
Florida;Hillsborough;5
Florida;Jefferson;1
Florida;Lee;2
Florida;Liberty;1
Florida;Marion;19
Florida;Palm Beach;2
Florida;Polk;20
Florida;Seminole;2
Florida;Suwannee;12
Florida;Baker;7
Florida;Brevard;1
Florida;Charlotte;1
Florida;Collier;1
Florida;Duval;7
Florida;Gadsden;4
Florida;Hendry;1
Florida;Holmes;7
Florida;Bay;2
Florida;Broward;1
Florida;Citrus;7
Florida;Columbia;20
Florida;Escambia;6
Florida;Hamilton;6
